uid,snd,run,time,target,generation,logsigma,parvec,submit
1001,abstract,1,29.1799368858,surprised,3,-1.4,"[0.2318079835644438, 0.0856004871983449, 0.42686461056231184, 0.1992469627030132, 0.989226479056921, 0.6260909084378364, 0.25368130773390657, 0.33101572894661124, 0.002738208941791284, 0.6721953770739005, 0.537852157681523]",0
1001,abstract,1,39.5482079983,surprised,4,-1.6,"[0.2318079835644438, 0.0856004871983449, 0.42686461056231184, 0.1992469627030132, 0.989226479056921, 0.6260909084378364, 0.25368130773390657, 0.33101572894661124, 0.002738208941791284, 0.6721953770739005, 0.537852157681523]",0
1001,abstract,1,46.5180530548,surprised,5,-1.8,"[0.2318079835644438, 0.0856004871983449, 0.42686461056231184, 0.1992469627030132, 0.989226479056921, 0.6260909084378364, 0.25368130773390657, 0.33101572894661124, 0.002738208941791284, 0.6721953770739005, 0.537852157681523]",0
1001,abstract,1,54.8986339569,surprised,6,-2.0,"[0.2318079835644438, 0.0856004871983449, 0.42686461056231184, 0.1992469627030132, 0.989226479056921, 0.6260909084378364, 0.25368130773390657, 0.33101572894661124, 0.002738208941791284, 0.6721953770739005, 0.537852157681523]",0
1001,abstract,1,61.8071758747,surprised,7,-2.2,"[0.2318079835644438, 0.0856004871983449, 0.42686461056231184, 0.1992469627030132, 0.989226479056921, 0.6260909084378364, 0.25368130773390657, 0.33101572894661124, 0.002738208941791284, 0.6721953770739005, 0.537852157681523]",0
1001,abstract,1,68.0203080177,surprised,8,-2.4,"[0.2318079835644438, 0.0856004871983449, 0.42686461056231184, 0.1992469627030132, 0.989226479056921, 0.6260909084378364, 0.25368130773390657, 0.33101572894661124, 0.002738208941791284, 0.6721953770739005, 0.537852157681523]",0
1001,abstract,1,75.6251759529,surprised,9,-2.6,"[0.2318079835644438, 0.0856004871983449, 0.42686461056231184, 0.1992469627030132, 0.989226479056921, 0.6260909084378364, 0.25368130773390657, 0.33101572894661124, 0.002738208941791284, 0.6721953770739005, 0.537852157681523]",1
1001,abstract,1,8.16065883636,angry,0,-0.8,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0
1001,abstract,1,16.6712248325,angry,1,-1.0,"[0.7161385308755842, 0.9602964191923059, 1.0, 0.6648967450856891, 0.17925413846017368, 0.41452564362284694, 0.0, 0.2397657810779961, 0.0, 0.5466774482254552, 0.084131300046142]",0
1001,abstract,1,25.0565559864,angry,2,-1.2,"[0.5796994086022857, 1.0, 1.0, 0.0, 0.0, 0.7349826317305916, 0.0, 0.6154912912938333, 0.0015383641136826561, 0.6311029968177282, 0.26925861843984134]",0
1001,abstract,1,33.1724328995,angry,3,-1.4,"[0.12529518208675, 1.0, 0.9027934669589022, 0.14270116154952978, 0.2878739811671771, 0.6591595181578074, 0.0, 0.7498110981603349, 0.12048629871218344, 0.5653959261048626, 0.0]",0
1001,abstract,1,39.0510518551,angry,4,-1.6,"[0.28984743306293437, 1.0, 1.0, 0.0, 0.22386513478861925, 0.5388622485084307, 0.0, 0.9814462051176498, 0.4292678035606663, 0.5379218666471499, 0.0]",0
1001,abstract,1,47.6235568523,angry,5,-1.8,"[0.28984743306293437, 1.0, 1.0, 0.0, 0.22386513478861925, 0.5388622485084307, 0.0, 0.9814462051176498, 0.4292678035606663, 0.5379218666471499, 0.0]",0
1001,abstract,1,54.1821007729,angry,6,-2.0,"[0.28984743306293437, 1.0, 1.0, 0.0, 0.22386513478861925, 0.5388622485084307, 0.0, 0.9814462051176498, 0.4292678035606663, 0.5379218666471499, 0.0]",0
1001,abstract,1,61.016769886,angry,7,-2.2,"[0.28984743306293437, 1.0, 1.0, 0.0, 0.22386513478861925, 0.5388622485084307, 0.0, 0.9814462051176498, 0.4292678035606663, 0.5379218666471499, 0.0]",0
1001,abstract,1,67.7959198952,angry,8,-2.4,"[0.28984743306293437, 1.0, 1.0, 0.0, 0.22386513478861925, 0.5388622485084307, 0.0, 0.9814462051176498, 0.4292678035606663, 0.5379218666471499, 0.0]",0
1001,abstract,1,74.1494538784,angry,9,-2.6,"[0.28984743306293437, 1.0, 1.0, 0.0, 0.22386513478861925, 0.5388622485084307, 0.0, 0.9814462051176498, 0.4292678035606663, 0.5379218666471499, 0.0]",0
